አዋላቸው ; [474, 474]
አያውቀውም ; [1643, 1643]
ቀኑ ; [1462, 353]
አግቢው ; [959, 3]
ካሳን ; [123, 7]
ይመጣል ; [1280, 1280, 3]
የራባት ; [12, 1]
ሹሙን ; [32, 11]
በቅሎ ; [35, 16]
ከገዛላት ; [79, 79]
ያዙት ; [1477, 1477, 106]
መጻፍም ; [1, 1]
ቀልድ ; [30, 23]
መታሰቢያ ; [86, 86, 1]
አማርኛ ; [117, 1, 1]
በተሻለ ; [1, 1, 1]
በሕይወት ; [1594]
አልረሳም ; [51, 51, 51, 51, 51, 51]
በሬ ; [227, 28, 12, 12]
አረደችው ; [2, 2, 2]
እነሱ ; [312, 217, 40]
የሚበሉ ; [123, 123]
ሰጥታኝ ; [570, 1]
የነበረው ; [3769, 3769]
ቢል ; [10430, 1]
አታደርገውም ; [1, 1]
ገፋፉት ; [47, 47]
ቁርስ ; [11, 8]
ቀማምሳ ; [39, 39, 39]
አጠባ ; [34, 19, 9, 9, 9, 9, 1]
ደሞዝ ; [62]
በሽርሽር ; [7]
ሆነን ; [20636, 20636, 20636]
ይሻለው ; [1]
ብትራመድ ; [1]
ባሥር ; [116, 116, 16]
መቼ ; [389, 31]
ትመጣለህ ; [1280, 1280, 3]
አስረው ; [16, 16]
አሸዋ ; [27, 4, 4]
ጐማዬን ; [18, 18]
ጠላው ; [16, 2]
አስተኛኝ ; [125, 125, 125]
ገረመው ; [139, 1]
እንኳ ; [465, 12]
በቀለ ; [35, 1]
ካላችሁ ; [10430, 10430, 10430, 10430, 1849, 1849, 1849, 1849]
ብንነጋገርበት ; [609, 609]
ጥራኝ ; [100, 98]
አልሰማ ; [420, 420, 420, 420, 420, 420]
አገባላት ; [959, 959]
ትመታታለህ ; [37, 37, 37]
ባይበላስ ; [123, 123]
ተዘጉበት ; [62, 62]
አቶ ; [351, 135]
አልተከለም ; [59, 59]
አጠርንበት ; [11, 11]
አይጠቅመንም ; [220, 220]
ሳይኖረኝ ; [380, 380]
ከጨረስክ ; [185, 185]
ለያያቸው ; [1045, 153, 153, 153, 37]
አገሩ ; [1319, 7]
መቀለድና ; [2]
ብቆም ; [313, 313]
ተኛ ; [125, 125, 125, 125, 125]
ዳር ; [26, 26, 16]
አጋዘን ; [2, 1, 1, 1]
ክፉ ; [84, 5]
ሂዳ ; [1644, 1644, 1644]
ሥላሴ ; [89]
መጣበት ; [1280, 3]
ይመለስ ; [383]
ፈረሱ ; [96, 78]
በምንም ; [2774, 1]
ብትሠራው ; [899, 899]
አይደሰትም ; [1, 1]
ሻይ ; [43]
አመጣላቸውና ; [1280, 1280]
ጠጡ ; [72, 72]
ራበኝ ; [12, 12]
ባለበት ; [10430, 10430, 1849, 1849]
እግዚአብሔር ; [190]
በአምሳሉ ; [9, 1]
ሠራርታ ; [899, 899]
በቀለን ; [35, 35, 1]
መወሰናቸው ; [135]
የሰማሁት ; [420, 420]
ስንቅ ; [47, 5]
ቀኑን ; [1462, 353, 353]
ሙሉ ; [1221, 1221, 1]
በኩል ; [862, 68]
ባጠገቡ ; [66, 40, 40]
መቅረጫ ; [1, 1]
መለሰ ; [383, 1]
አልቀበል ; [1]
አለፈ ; [1633, 1633]
ነጭ ; [77, 1]
ልመልስላቸው ; [383, 383]
አላሳልፍም ; [1633, 1633]
አለን ; [10430, 10430, 10430, 1849, 1849, 1849, 1849, 1849]
አልገዛም ; [79, 79, 79, 79, 79, 79]
ሳትታጠብ ; [19]
አትብላ ; [123, 123]
አየች ; [1045, 1045]
